artist_name_raw,artist_name_norm,listeners,playcount,id_genre
Abraham Mateo,abraham mateo,162950,2581795,4
Aissa,aissa,31336,607475,4
Aitana,aitana,225475,13481806,4
Alejandro Sanz,alejandro sanz,671211,14460688,4
Alejo,alejo,147663,3569689,4
Alex Gargolas,alex gargolas,142081,1523468,4
Alex Rose,alex rose,161680,2923244,4
Almighty,almighty,66672,1649533,4
Alvaro Diaz,alvaro diaz,244945,23673495,4
Alvaro Soler,alvaro soler,364744,6188394,4
Amenazzy,amenazzy,106436,1325025,4
Ana Mena,ana mena,122590,4025299,4
Angel y Khriz,angel y khriz,276260,2270733,4
Antonio José,antonio josé,41767,525211,4
Anuel AA,anuel aa,588940,30905155,4
Arcángel,arcángel,412072,13048488,4
Atomic Otro Way,atomic otro way,62051,491791,4
Aventura,aventura,976469,23388960,4
Bandido,bandido,50586,617460,4
Bad Bunny,bad bunny,2161010,342648127,4
Bad Gyal,bad gyal,424413,23501523,4
Becky G,becky g,1382270,24385143,4
beret,beret,107050,2708142,4
Beéle,beéle,198210,4491920,4
Bizarrap,bizarrap,891606,44195027,4
Black Eyed Peas,black eyed peas,5584149,146246213,4
Blessd,blessd,248207,9910783,4
Borja Rubio,borja rubio,4546,25315,4
Boy Wonder Cf,boy wonder cf,116185,800383,4
Boza,boza,179754,2086198,4
Brray,brray,107813,1509376,4
Bryant Myers,bryant myers,189104,6617906,4
Brytiago,brytiago,191146,3723628,4
C. Tangana,c. tangana,463345,28290963,4
CDobleta,cdobleta,20145,1075566,4
Camilo,camilo,357204,7167316,4
caMin,camin,16408,266884,4
Cano,cano,28995,721260,4
Carlos Vives,carlos vives,617881,8187916,4
Carín León,carín león,82682,1084884,4
Casper Magico,casper magico,63430,734810,4
Cazzu,cazzu,196426,5390973,4
Ceky Viciny,ceky viciny,33502,243622,4
Chanel,chanel,226492,3790762,4
Chayanne,chayanne,501041,7044832,4
Chimbala,chimbala,90736,832688,4
Chris Jedi,chris jedi,173109,2413459,4
Chris Lebron,chris lebron,32023,341348,4
Chris Viz,chris viz,19488,134567,4
Christian Nodal,christian nodal,273505,8881135,4
Cojo Crazy,cojo crazy,2159,26071,4
Comando Tiburon,comando tiburon,24131,157928,4
Cris Mj,cris mj,518149,28575559,4
Cyril Kamer,cyril kamer,32732,676990,4
D Jam Saw,d jam saw,1701,6820,4
D' la Crem,d' la crem,10273,83773,4
Dellafuente,dellafuente,127658,5357194,4
dj Luian,dj luian,136467,1310424,4
DJ Snake,dj snake,2485711,46038582,4
Daddy Yankee,daddy yankee,2132270,48564634,4
Dalex,dalex,218958,3758884,4
Danny Ocean,danny ocean,506051,12392205,4
Darell,darell,200030,2113070,4
David Bisbal,david bisbal,357847,5226035,4
David Marley,david marley,10131,94091,4
Daviles de Novelda,daviles de novelda,22347,215233,4
Dayme y El High,dayme y el high,35882,246931,4
Dayvi,dayvi,130365,839858,4
De la rose,de la rose,70783,1407646,4
Dei V,dei v,126231,7476195,4
Diego Torres,diego torres,269312,2603420,4
Don Miguelo,don miguelo,128498,1024636,4
Don Patricio,don patricio,97742,1361194,4
Duki,duki,286691,40562951,4
Elena Rose,elena rose,86266,818678,4
El Alfa,el alfa,630734,15226090,4
El Bobe,el bobe,28844,425327,4
El Completo Rd,el completo rd,23907,97727,4
el daddy,el daddy,3610,24395,4
El Jhota,el jhota,14992,143756,4
El Taiger,el taiger,35031,319071,4
Eladio Carrion,eladio carrion,381583,33067618,4
Ele A El Dominio,ele a el dominio,62146,1471697,4
Eloy,eloy,354550,5374720,4
Emilia,emilia,485586,17673176,4
Enrique Iglesias,enrique iglesias,2635196,52571642,4
Eslabon Armado,eslabon armado,728674,30330419,4
Farruko,farruko,781667,10553246,4
Feid,feid,612186,55573511,4
Flowzeta,flowzeta,2218,11349,4
Foreign Teck,foreign teck,41803,366852,4
Frankie Ruiz,frankie ruiz,310642,4215891,4
Fred De Palma,fred de palma,99315,2056119,4
Fresto Music,fresto music,29877,230697,4
Fuego,fuego,241463,2360595,4
Gims,gims,385111,11234785,4
Gaby Music,gaby music,61899,560929,4
Greeicy,greeicy,120979,1983196,4
Grupo Frontera,grupo frontera,457624,11887730,4
Grupo Niche,grupo niche,271343,3843774,4
Huge L,huge l,27857,3443379,4
Haze,haze,163017,2522738,4
Icon,icon,64964,741056,4
India Martinez,india martinez,53022,622194,4
Ir Sais,ir sais,128909,1078719,4
J Abdiel,j abdiel,71264,1332574,4
J Balvin,j balvin,1695780,60399410,4
JC Reyes,jc reyes,98531,3407347,4
JC El Diamante,jc el diamante,7719,70791,4
Jhayco,jhayco,403464,16232985,4
Javiielo,javiielo,49715,592535,4
Jay Menez,jay menez,11822,65220,4
Jay Wheeler,jay wheeler,264174,5542371,4
JDM,jdm,3553,12276,4
Jedis,jedis,57235,671896,4
Jerry Di,jerry di,79536,703297,4
Jesse & Joy,jesse & joy,399205,9520440,4
Jey Blessing,jey blessing,14912,82438,4
Joaquín Sabina,joaquín sabina,234047,7543968,4
Joel Santos,joel santos,8060,60603,4
Joey Montana,joey montana,153628,1185822,4
John Pollõn,john pollõn,21183,1015036,4
Jon Z,jon z,116144,2099638,4
Jossef,jossef,47261,380212,4
Juan Magán,juan magán,215043,2389210,4
JUDELINE,judeline,193805,8020952,4
Juhn,juhn,53154,611991,4
Juseph,juseph,31188,535492,4
Justin Quiles,justin quiles,259214,4069888,4
KAROL G,karol g,1366789,70548586,4
Kevin Roldan,kevin roldan,161071,2240760,4
KEVVO,kevvo,60718,592477,4
Khea,khea,223087,10071816,4
kabasaki,kabasaki,28652,440499,4
Kafu Banton,kafu banton,46403,485744,4
Karetta el Gucci,karetta el gucci,11633,94974,4
Kaydy Cain,kaydy cain,91532,3777543,4
Khaled,khaled,360365,3640221,4
KIDD KEO,kidd keo,153889,7570481,4
Lagos,lagos,127044,2674300,4
Latin mafia,latin mafia,214728,13498744,4
Lit Killah,lit killah,176219,8368774,4
La Fortaleza Real,la fortaleza real,3382,13033,4
La Nueva Escuela,la nueva escuela,34340,457383,4
la pantera,la pantera,70272,1411056,4
La Suprema Corte,la suprema corte,23968,183172,4
La Zowi,la zowi,66458,2618857,4
Leebrian,leebrian,39626,411004,4
Leiva,leiva,87815,2398075,4
Lil Cake,lil cake,88492,1022813,4
Liderj,liderj,6143,72446,4
Lola Indigo,lola indigo,168582,6585239,4
Los Legendarios,los legendarios,105949,858907,4
Luar La L,luar la l,95460,3538844,4
Lucho RK,lucho rk,29830,1112964,4
Luck Ra,luck ra,116324,3242322,4
Luis Fonsi,luis fonsi,1323157,15173128,4
Lunay,lunay,321941,5044718,4
Lérica,lérica,32174,392240,4
Maffio,maffio,40270,221006,4
Maikel Delacalle,maikel delacalle,83965,1064679,4
Major Lazer,major lazer,2859738,67027647,4
Maluma,maluma,960940,29866004,4
Manuel Turizo,manuel turizo,493664,9205445,4
Maná,maná,827883,19099268,4
Marc Seguí,marc seguí,207076,3620279,4
Marshmello,marshmello,2490619,66069021,4
Mau y Ricky,mau y ricky,194619,2665940,4
Mdmoney,mdmoney,13190,158701,4
Melendi,melendi,309179,7863086,4
Metrika,metrika,30216,1705390,4
Mike Morato,mike morato,4039,34089,4
Miky Woodz,miky woodz,68686,1156225,4
Milo j,milo j,253116,21299363,4
Moncho Chavea,moncho chavea,23640,228702,4
Mora,mora,430351,37659363,4
Morad,morad,194891,8535076,4
Morat,morat,295892,21705315,4
Musicologo The Libro,musicologo the libro,10411,71693,4
Myke Towers,myke towers,621716,26127366,4
NATHY PELUSO,nathy peluso,298005,11889108,4
Natti Natasha,natti natasha,362545,5092646,4
Natos y Waor,natos y waor,50756,2573225,4
Neo Pistea,neo pistea,61689,2450245,4
Nicky Jam,nicky jam,1012639,14818277,4
Nil Moliner,nil moliner,38767,847110,4
Nio Garcia,nio garcia,368108,5445880,4
