artist_name_raw,artist_name_norm,listeners,playcount,id_genre
2illusions,2illusions,2479,22948,3
351 Lake Shore Drive,351 lake shore drive,16886,94037,3
4 Wings,4 wings,61700,228364,3
aint,aint,35015,259327,3
ASP Project,asp project,984,3402,3
Afterlife,afterlife,472421,4934853,3
Agricantus,agricantus,26286,167561,3
Aitor Escobar,aitor escobar,10436,40466,3
ALFIDA,alfida,8558,38181,3
Anh Khoa,anh khoa,2130,13205,3
Argun North,argun north,11333,44709,3
Artenovum,artenovum,5208,46296,3
AtariJones,atarijones,53552,212611,3
Auguste Henrique,auguste henrique,37329,131305,3
Aurélien Trigo,aurélien trigo,23071,138129,3
Buppon,buppon,4135,28845,3
Beatkonexion,beatkonexion,14793,68957,3
Bernard,bernard,22651,111244,3
Blended Colours,blended colours,25894,83675,3
Brown_buddha,brown_buddha,350,4403,3
Cambis,cambis,2865,8846,3
Cardinal Zen,cardinal zen,9688,38802,3
Carlos Campos,carlos campos,14635,71560,3
Channing Spence,channing spence,27283,84122,3
Chillwalker,chillwalker,37737,232469,3
Chimezie,chimezie,2149,21226,3
Chloe Kay,chloe kay,4373,10895,3
Chris Coco,chris coco,112397,742852,3
Chris Mercer,chris mercer,9151,30770,3
Clelia Felix,clelia felix,56929,381435,3
Coral Chiller,coral chiller,2023,7623,3
DENYENTOSHI,denyentoshi,137,637,3
DJ Lounge del Mar,dj lounge del mar,11406,55811,3
David Emde,david emde,1340,3283,3
Deeper Sublime,deeper sublime,10899,53902,3
Digby Jones,digby jones,102268,500225,3
Domain Brown,domain brown,179,1276,3
Don Gorda Project,don gorda project,20078,105419,3
Eivissarts,eivissarts,2130,10979,3
Electribe 101,electribe 101,67814,334626,3
Elmer Soulé,elmer soulé,3818,10537,3
Emmie Reins,emmie reins,3280,7648,3
Erick Di,erick di,6655,59573,3
Eskadet,eskadet,24886,212072,3
Euphonic Traveller,euphonic traveller,21052,111188,3
Faro,faro,25650,248099,3
Filip Neuf,filip neuf,1378,29699,3
Fink's Mood,fink's mood,31922,99326,3
Five Seasons,five seasons,37784,276723,3
Flashbaxx,flashbaxx,18151,91475,3
Florito,florito,28576,149723,3
Florzinho,florzinho,8963,40348,3
For Found Future,for found future,5045,23998,3
Fred Hyas,fred hyas,848,3366,3
Fredrik Johansson,fredrik johansson,17642,64293,3
GHXSTFVCES,ghxstfvces,258,1144,3
Ganga,ganga,100926,789562,3
Gary B,gary b,151069,1450006,3
Gelka,gelka,126421,940386,3
Glded,glded,21617,63350,3
GlizzyGang$$,glizzygang$$,431,1676,3
Gold Lounge,gold lounge,23003,165612,3
Guenter Haas,guenter haas,18400,143247,3
Hiya,hiya,2169,25530,3
Host Bodies,host bodies,201,792,3
Idi Akz,idi akz,38096,495978,3
Ingo Herrmann,ingo herrmann,56632,530222,3
James Bright,james bright,25233,162878,3
Jane Maximova,jane maximova,21704,114852,3
Jasmon,jasmon,36324,201514,3
Jay Cinema,jay cinema,2150,36359,3
Jean Mare,jean mare,12049,80014,3
Jens Buchert,jens buchert,109699,1634349,3
Jo Rochford,jo rochford,12371,55919,3
Johannes Huppertz,johannes huppertz,11785,56472,3
Kamii,kamii,1085,11371,3
Kaxi,kaxi,4860,35477,3
Kingayeo,kingayeo,119,5441,3
KoolSax,koolsax,6876,43035,3
KYROSHIE,kyroshie,715,5131,3
Lasse Ivonen,lasse ivonen,10162,38003,3
Lazy Hammock,lazy hammock,28589,168939,3
Lemongrass,lemongrass,465726,6760708,3
Lenny Ibizarre,lenny ibizarre,41411,298345,3
Lil Aone,lil aone,3532,52325,3
Lounge Deluxe,lounge deluxe,6165,31784,3
Loungeside,loungeside,1150,3629,3
Loving Paris,loving paris,10049,36842,3
Marc Hartman,marc hartman,9209,81130,3
Marga Sol,marga sol,48541,432737,3
Marie Therese,marie therese,11015,72075,3
Massivan,massivan,34068,146530,3
Mathieu & Florzinho,mathieu & florzinho,14027,64990,3
Mats Bergström,mats bergström,21912,80948,3
Mauricio Galbardi,mauricio galbardi,33610,123829,3
Meg Stiles,meg stiles,2182,5986,3
Melounge,melounge,7769,40763,3
Merge Of Equals,merge of equals,31930,312590,3
Michael E,michael e,39483,438283,3
Minos Gold,minos gold,17716,46325,3
Mirage of Deep,mirage of deep,16975,106693,3
Mokita,mokita,291824,3954983,3
Mystic Diversions,mystic diversions,78350,693194,3
Nath,nath,51051,801846,3
Nacho Sotomayor,nacho sotomayor,99452,748676,3
Niz,niz,2495,21749,3
Noah Jacob,noah jacob,22846,115421,3
Noqh,noqh,5027,29230,3
Olga Chung,olga chung,36119,119580,3
Outsized,outsized,6584,27882,3
Paco Fernandez,paco fernandez,96968,482997,3
pep llado,pep llado,11037,40216,3
Peter Pearson,peter pearson,30031,460698,3
Pier-O,pier-o,3650,22258,3
Pigeondust,pigeondust,64955,431872,3
Placid Larry,placid larry,6541,33298,3
Project Blue Sun,project blue sun,13160,132651,3
Richard Mollenbeck,richard mollenbeck,45766,247807,3
Roberto Sol,roberto sol,44691,233567,3
Sami Sivananda,sami sivananda,3816,19123,3
Sarah rosen,sarah rosen,1985,8232,3
Schwarz & Funk,schwarz & funk,85348,730292,3
Shannon & Keast,shannon & keast,11968,71253,3
Shingo Sekiguchi,shingo sekiguchi,53787,181200,3
Simon Le Grec,simon le grec,26915,218838,3
Sine,sine,59057,426870,3
Solace,solace,111129,936245,3
SoulAvenue,soulavenue,19300,66052,3
Stargazer,stargazer,64773,666042,3
Steen Thottrup,steen thottrup,61262,423932,3
Summer Heart,summer heart,274608,2525056,3
Sunyata Project,sunyata project,11820,58588,3
Swordbearer,swordbearer,362,7397,3
Taigherwuds,taigherwuds,803,2456,3
The Diventa Project,the diventa project,8670,39148,3
The Mistrals,the mistrals,20991,62544,3
The Nait Sirk,the nait sirk,2953,28997,3
The Soul crusaders,the soul crusaders,1538,12110,3
Thomas Lemmer,thomas lemmer,50636,424166,3
Threestyle,threestyle,10869,63031,3
Tom Kalani,tom kalani,29320,76198,3
Trevor Poole,trevor poole,7960,42033,3
Triangle Sun,triangle sun,89366,980538,3
Ulli Boegershausen,ulli boegershausen,31675,175648,3
Unwanted Us,unwanted us,564,1035,3
Urban Phunk Society,urban phunk society,7755,41800,3
Vargo,vargo,183169,1376639,3
Velvet Dreamer,velvet dreamer,11386,119681,3
Weathertunes,weathertunes,73268,644152,3
Winston,winston,19062,109243,3
Worldtraveller,worldtraveller,132625,628645,3
Yantra Mantra,yantra mantra,11842,66513,3
Yugen Blue,yugen blue,856,3977,3
Zedman,zedman,1889,5442,3
Zuell,zuell,34737,134309,3
ask eternity,ask eternity,36164,322351,3
Austin Fox 狐,austin fox 狐,1165,8355,3
bluemason,bluemason,128,1342,3
des hume,des hume,11007,27432,3
Gb,gb,25096,186082,3
hxrtly,hxrtly,1597,9169,3
illmore,illmore,8817,82280,3
Lo-1,lo-1,11731,70016,3
no.notnow,no.notnow,8367,31048,3
Sevnce,sevnce,4366,20149,3
Vict Molina,vict molina,22820,213204,3
