name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
Where We All Soar,Noah Jacob,noah jacob,Where We All Soar,track,2019,519383,0,3
Time 2 Quit - Remix Instrumental,BUPPON,buppon,enDroll : 12inch CLUB Package,track,2019,188223,0,3
Lotus Yoga,Sami Sivananda,sami sivananda,"Relax in Style, Vol. 3",track,2019,262789,0,3
The Breath Of Ganges,Mirage Of Deep,mirage of deep,"Chill Out Whisper, Vol. 2",track,2019,441493,0,3
Your Christmas Spirit,Tom Kalani,tom kalani,Atmospheric,track,2019,184390,0,3
Narrow,Zedman,zedman,Brain Storm,track,2019,165929,0,3
Inner Peace,Sami Sivananda,sami sivananda,"Enjoy the Silence, Vol. 7",track,2019,264550,0,3
Bamboo Girl,Sunyata Project,sunyata project,Pure Wellness 7,track,2019,206150,0,3
Sunset Traveller,Marga Sol,marga sol,"Calm WInter Eve, Vol. 1 (Finest In Chill Out & Ambient Sound For The Cozy Time Of The Year)",track,2019,429714,0,3
Mike Shoes,Zedman,zedman,Mike Shoes,track,2019,176222,0,3
Zavior,Zedman,zedman,Zavior,track,2019,169010,0,3
Rubber,Zedman,zedman,Naibu,track,2019,158083,0,3
Pai Mu Tan - SPA Mix,Florito,florito,"Drops Of Summer (The Electronic Collection), Vol. 3",track,2019,306189,0,3
Voyage - Enigmatic Spirit Mix,Artenovum,artenovum,"The Forest Chill Lounge, Vol. 15 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,304333,0,3
True Love,Merge of Equals,merge of equals,Balearic Chill #5,track,2019,276100,0,3
Sober,David Emde,david emde,Smile,track,2019,235000,0,3
King,Zedman,zedman,Cards,track,2019,259134,0,3
Are You Hiding - Original Mix,Ganga,ganga,"Floating Clouds (Amazing Chill out Anthems), Vol. 1",track,2019,378063,0,3
Pi Lo Chun,Sunyata Project,sunyata project,"Supreme Relax, Vol. 3",track,2019,347075,0,3
Atolls,Coral Chiller,coral chiller,Buddha Hotel Suite Special,track,2019,274006,0,3
Mahareena - Extended Mix,Sunyata Project,sunyata project,"Relax in Style, Vol. 3",track,2019,300742,0,3
Twice,Shannon & Keast,shannon keast,90S 00S and 10S Covers,track,2019,158025,0,3
Look Inside,Tom Kalani,tom kalani,Atmospheric,track,2019,133199,0,3
Love Revolucion - Original Mix,Marga Sol,marga sol,Singapore Orange (Urban Oriental Music),track,2019,372169,0,3
Temple Tunes,Sami Sivananda,sami sivananda,Inner Balance: Chillout Your Soul 7,track,2019,405714,0,3
Satori,Sami Sivananda,sami sivananda,Inner Balance: Chillout Your Soul 6,track,2019,325047,0,3
Wide Emotions - Floating String Chillout Mix,For Found Future,for found future,"Buddhatronic - the Compilation, Vol. IV (Best of Mystic Bar Sound Meets Buddha Chill out Lounge)",track,2019,312000,0,3
Waterworlds,Ingo Herrmann,ingo herrmann,Truth,track,2019,168250,0,3
Les Pieds Dans L'Eau,Peter Pearson,peter pearson,"Una Noche Mas (Solo Lounge Anthems), Vol. 2",track,2019,329600,0,3
Nower,David Emde,david emde,Smile,track,2019,175125,0,3
Here,Placid Larry,placid larry,"Sunset Meditation - Relaxing Chill Out Music, Vol. 10",track,2019,226017,0,3
The Star of the County Down,Lasse Ivonen,lasse ivonen,Celtic Tunes on Classical Guitar,track,2019,135891,0,3
Let Me In,Chloe Kay,chloe kay,Fall Into U,track,2019,198449,0,3
Pure,Sami Sivananda,sami sivananda,"Chillout Connection, Vol. 5",track,2019,297000,0,3
Up,Zedman,zedman,Up,track,2019,199653,0,3
Sunset,Sami Sivananda,sami sivananda,"Enjoy the Silence, Vol. 5",track,2019,97050,0,3
Run/,Zedman,zedman,Zavior,track,2019,173509,0,3
