artist_name_raw,artist_name_norm,listeners,playcount,id_genre
2 Minutos,2 minutos,71336,2507334,2
24kGoldn,24kgoldn,1164983,22573449,2
60 juno,60 juno,229155,1770362,2
A Day to Remember,a day to remember,1894214,153426719,2
A Flock of Seagulls,a flock of seagulls,1222697,12900640,2
AC/DC,ac/dc,4462934,208454071,2
AJR,ajr,1199377,52820599,2
AWOLNATION,awolnation,1503698,29622069,2
Airbag,airbag,177061,8369798,2
Albertucho,albertucho,37000,740502,2
Alcest,alcest,476625,28914106,2
All Good Things,all good things,128345,1847289,2
All Them Witches,all them witches,292354,8040919,2
All Time Low,all time low,2511789,142095048,2
Allah-Las,allah-las,450032,9922878,2
Ally Nicholas,ally nicholas,105742,1442807,2
Amenoskuarto,amenoskuarto,4767,32964,2
Andrew Garden,andrew garden,143666,1939908,2
Andrés Calamaro,andrés calamaro,444734,16772218,2
Angel Guaraca,angel guaraca,1219,15063,2
Arco,arco,38710,513845,2
Arctic Monkeys,arctic monkeys,6939434,902266821,2
Argonaut & Wasp,argonaut & wasp,83361,644437,2
Aunt Cynthia's Cabin,aunt cynthia's cabin,35400,221483,2
Autumn Kings,autumn kings,69047,903877,2
Avenged Sevenfold,avenged sevenfold,2811818,221647714,2
Awaken I Am,awaken i am,133180,2172963,2
AZUCENA AYMARA,azucena aymara,1134,12671,2
Babasónicos,babasónicos,278332,14874355,2
Bad Nerves,bad nerves,191244,3332739,2
Bad Omens,bad omens,747748,80230975,2
Bad Wolves,bad wolves,362671,6643331,2
Bakar,bakar,1297855,27588862,2
Balu Brigada,balu brigada,439572,7582763,2
Band of Horses,band of horses,2258580,74331112,2
Bayonne,bayonne,157499,1416737,2
Bayron Caicedo,bayron caicedo,1340,16849,2
Bayron Caicedo,bayron caicedo,1340,16849,2
Beach Bunny,beach bunny,1495116,42303340,2
Benito Kamelas,benito kamelas,17058,366021,2
Bersuit Vergarabat,bersuit vergarabat,244892,6070579,2
Betcha,betcha,138549,1910320,2
Beth Hart,beth hart,218366,4334279,2
Better Oblivion Community Center,better oblivion community center,341766,10433430,2
Billy Idol,billy idol,2958836,54408535,2
Billylildove,billylildove,37048,180597,2
"Black Country, New Road","black country, new road",750880,65311672,2
Black Pontiac,black pontiac,59627,845876,2
Blur,blur,4679844,189763823,2
Bombay Bicycle Club,bombay bicycle club,1595845,55180877,2
Boy Harsher,boy harsher,418840,11660274,2
Bring Me the Horizon,bring me the horizon,2749905,309577205,2
Briston Maroney,briston maroney,603044,13072572,2
Broken Bells,broken bells,1382478,34527052,2
Enrique Bunbury,enrique bunbury,149674,4880994,2
C. Tangana,c. tangana,463345,28290963,2
Cage the Elephant,cage the elephant,3304841,141674715,2
Cal in Red,cal in red,70121,419734,2
Calero LDN,calero ldn,8779,174576,2
Cam Cole,cam cole,73168,627202,2
Caramelos de Cianuro,caramelos de cianuro,60989,2224967,2
Cari Cari,cari cari,117701,1401233,2
Caskets,caskets,271956,8603885,2
Catch Your Breath,catch your breath,221192,6071868,2
Cecy Narvaez,cecy narvaez,1822,14077,2
Celtas Cortos,celtas cortos,106502,1662104,2
Celtian,celtian,8754,250447,2
Chacalon Jr,chacalon jr,1825,23203,2
Charlie Burg,charlie burg,466329,7121975,2
Charlie USG,charlie usg,12017,316617,2
Chicago,chicago,1737129,25216675,2
Chri$tian Gate$,chri$tian gate$,250106,8583071,2
Chris Norman,chris norman,259721,1815398,2
Chris Rea,chris rea,1311111,16376776,2
