name_track,name_artist,name_album,type,year,duration_ms,genre,popularity
Where We All Soar,Noah Jacob,Where We All Soar,track,2019,519383,chill,0
Time 2 Quit - Remix Instrumental,BUPPON,enDroll : 12inch CLUB Package,track,2019,188223,chill,0
Lotus Yoga,Sami Sivananda,"Relax in Style, Vol. 3",track,2019,262789,chill,0
The Breath Of Ganges,Mirage Of Deep,"Chill Out Whisper, Vol. 2",track,2019,441493,chill,0
Your Christmas Spirit,Tom Kalani,Atmospheric,track,2019,184390,chill,0
Narrow,Zedman,Brain Storm,track,2019,165929,chill,0
Inner Peace,Sami Sivananda,"Enjoy the Silence, Vol. 7",track,2019,264550,chill,0
Bamboo Girl,Sunyata Project,Pure Wellness 7,track,2019,206150,chill,0
Sunset Traveller,Marga Sol,"Calm WInter Eve, Vol. 1 (Finest In Chill Out & Ambient Sound For The Cozy Time Of The Year)",track,2019,429714,chill,0
Mike Shoes,Zedman,Mike Shoes,track,2019,176222,chill,0
Zavior,Zedman,Zavior,track,2019,169010,chill,0
Rubber,Zedman,Naibu,track,2019,158083,chill,0
Pai Mu Tan - SPA Mix,Florito,"Drops Of Summer (The Electronic Collection), Vol. 3",track,2019,306189,chill,0
Voyage - Enigmatic Spirit Mix,Artenovum,"The Forest Chill Lounge, Vol. 15 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,304333,chill,0
True Love,Merge of Equals,Balearic Chill #5,track,2019,276100,chill,0
Sober,David Emde,Smile,track,2019,235000,chill,0
King,Zedman,Cards,track,2019,259134,chill,0
Are You Hiding - Original Mix,Ganga,"Floating Clouds (Amazing Chill out Anthems), Vol. 1",track,2019,378063,chill,0
Pi Lo Chun,Sunyata Project,"Supreme Relax, Vol. 3",track,2019,347075,chill,0
Atolls,Coral Chiller,Buddha Hotel Suite Special,track,2019,274006,chill,0
Mahareena - Extended Mix,Sunyata Project,"Relax in Style, Vol. 3",track,2019,300742,chill,0
Twice,Shannon & Keast,90S 00S and 10S Covers,track,2019,158025,chill,0
Look Inside,Tom Kalani,Atmospheric,track,2019,133199,chill,0
Love Revolucion - Original Mix,Marga Sol,Singapore Orange (Urban Oriental Music),track,2019,372169,chill,0
