name_track,name_artist,name_album,type,year,duration_ms,genre,popularity
Breaking Me,Topic,Breaking Me,track,2019,166793,pop,73
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,track,2019,182160,pop,87
The Man,Taylor Swift,Lover,track,2019,190360,pop,77
needy,Ariana Grande,"thank u, next",track,2019,171573,pop,84
Higher Love,Kygo,Higher Love,track,2019,228267,pop,73
Primaveras En El Pelo,El Arrebato,Abrazos,track,2019,223987,pop,56
Heavenly,Cigarettes After Sex,Cry,track,2019,286773,pop,82
Cristina,Sebastian Yatra,FANTASÍA,track,2019,201626,pop,72
La Luna,Galvan Real,La Luna,track,2019,250319,pop,59
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),track,2019,215106,pop,84
Esperándote,Manuel Turizo,ADN,track,2019,202317,pop,65
Peces de Ciudad (feat. Pablo López),Pablo Alborán,Peces de Ciudad (feat. Pablo López),track,2019,390861,pop,54
Touch,Cigarettes After Sex,Cry,track,2019,292853,pop,80
Un Año,Sebastian Yatra,Un Año,track,2019,164440,pop,64
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,track,2019,202192,pop,78
Destino,Greeicy,Baila,track,2019,180480,pop,67
Golden,Harry Styles,Fine Line,track,2019,208917,pop,75
If the World Was Ending (feat. Julia Michaels),JP Saxe,If the World Was Ending (feat. Julia Michaels),track,2019,208687,pop,74
Azahara,Galvan Real,Azahara,track,2019,259984,pop,55
Ok Love You Bye,Olivia Dean,Ok Love You Bye,track,2019,154386,pop,84
A Mí Na Ma,El Arrebato,Abrazos,track,2019,222330,pop,51
La Vida Bailando,Galvan Real,La Vida Bailando,track,2019,229290,pop,51
Tus Ojos y los Míos,Demarco Flamenco,Le sonrío al agua,track,2019,194583,pop,48
Un Amor Tan Grande,El Arrebato,Abrazos,track,2019,213496,pop,49
La Boca,Mau y Ricky,Para Aventuras y Curiosidades,track,2019,206271,pop,66
Pa Ti y Pa Mí Na Má,Demarco Flamenco,Le sonrío al agua,track,2019,181016,pop,52
Hold Me While You Wait,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,track,2019,205686,pop,77
Tu Juego,Galvan Real,Tu Juego,track,2019,313849,pop,51
"thank u, next",Ariana Grande,"thank u, next",track,2019,207320,pop,83
RITMO (Bad Boys For Life),Black Eyed Peas,RITMO (Bad Boys For Life),track,2019,221714,pop,69
Cicatrices (feat. Indara),Sergio Contreras,Cicatrices (feat. Indara),track,2019,173868,pop,47
A Dónde Vamos,Morat,A Dónde Vamos,track,2019,203102,pop,63
Si La Hubieras Visto,El Arrebato,Abrazos,track,2019,252258,pop,50
Mi Persona Favorita,Alejandro Sanz,#ELDISCO,track,2019,239972,pop,61
Miss Americana & The Heartbreak Prince,Taylor Swift,Lover,track,2019,234146,pop,78
Tu Velero,Galvan Real,Tu Velero,track,2019,281483,pop,52
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Late Night Feelings,track,2019,217099,pop,74
bloodline,Ariana Grande,"thank u, next",track,2019,216893,pop,84
Tutu,Camilo,Tutu,track,2019,178613,pop,64
ilomilo,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,156370,pop,76
Culpables,Manuel Turizo,ADN,track,2019,233929,pop,70
"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""",Morat,Mar De Colores (Versión Extendida),track,2019,179280,pop,56
Amigos Con Derechos,Reik,Ahora,track,2019,227480,pop,76
El Danzar De Las Mariposas,El Barrio,El Danzar De Las Mariposas,track,2019,256690,pop,56
Don't Start Now,Dua Lipa,Don't Start Now,track,2019,183290,pop,74
All Around The World (La La La),R3HAB,All Around The World (La La La),track,2019,147840,pop,71
Kill This Love,BLACKPINK,KILL THIS LOVE,track,2019,191050,pop,76
Adore You,Harry Styles,Fine Line,track,2019,207139,pop,84
Cry,Cigarettes After Sex,Cry,track,2019,256799,pop,88
ghostin,Ariana Grande,"thank u, next",track,2019,271466,pop,71
