name_track,name_artist,name_album,type,year,duration_ms,genre,popularity
Never There,Sum 41,Order In Decline,track,2019,260093,rock,54
Stand Out Fit In,ONE OK ROCK,Eye of the Storm,track,2019,214573,rock,62
This Life,Vampire Weekend,Father of the Bride,track,2019,268600,rock,59
Seventeen,Sharon Van Etten,Remind Me Tomorrow,track,2019,265920,rock,61
MANTRA,Bring Me The Horizon,amo,track,2019,233128,rock,62
It's Alright,The Mystery Lights,Too Much Tension!,track,2019,170546,rock,58
Kiss The Go-Goat,Ghost,Seven Inches of Satanic Panic,track,2019,195693,rock,62
Mario Neta,El Cuarteto De Nos,Jueves,track,2019,234786,rock,54
Hurricane,I Prevail,TRAUMA,track,2019,223173,rock,68
Drugs,Falling In Reverse,Drugs,track,2019,231920,rock,61
Legendary,Skillet,Victorious,track,2019,244538,rock,63
Cold as Ice,Foreigner,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3",track,2019,199480,rock,54
Invincible,TOOL,Fear Inoculum,track,2019,764456,rock,62
A Las Nueve,No Te Va Gustar,Otras Canciones,track,2019,202063,rock,63
Patience,Tame Impala,Patience,track,2019,292267,rock,65
Killing Me Slowly,Bad Wolves,N.A.T.I.O.N.,track,2019,237065,rock,66
Scrawny,Wallows,Nothing Happens,track,2019,166520,rock,66
BOOM,X Ambassadors,ORION,track,2019,164586,rock,59
Mama,Cam Cole,I See,track,2019,147026,rock,61
Finish Line,Skillet,Victorious,track,2019,206060,rock,64
Personal Lies,Djo,Twenty Twenty,track,2019,299546,rock,64
Princesa,Los Rodriguez,Princesa,track,2019,270568,rock,39
Sleeptalk,Dayseeker,Sleeptalk (Deluxe),track,2019,223026,rock,69
Maple Syrup,The Backseat Lovers,When We Were Friends,track,2019,243529,rock,71
New Age Blues,Cam Cole,I See,track,2019,257351,rock,58
Un hierro sin domar,Marea,El azogue,track,2019,232222,rock,33
Shine A Little Light,The Black Keys,"""Let's Rock""",track,2019,196776,rock,59
Hoy - Remezclado y Remasterizado 2019,Los De Marras,Surrealismo (Remezclado y Remasterizado 2019),track,2019,202303,rock,33
Remember When,Wallows,Nothing Happens,track,2019,155146,rock,70
Popular Monster,Falling In Reverse,Popular Monster,track,2019,220537,rock,69
Guerra Fría,Valira,Ecos de Aventura,track,2019,276093,rock,35
Niamh,Celtian,En Tierra de Hadas,track,2019,226385,rock,42
Runnin' Down A Dream,Tom Petty,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,track,2019,261812,rock,69
Disco,Surf Curse,Disco,track,2019,152760,rock,79
Verano del 95,Rulo y la contrabanda,Basado en hechos reales,track,2019,236373,rock,40
Quiero Que Vengas,Mala Hierba,Quiero Decir,track,2019,273026,rock,39
Lo/Hi,The Black Keys,"""Let's Rock""",track,2019,177768,rock,62
38º,Walls,38º,track,2019,202570,rock,37
If You Leave - Remastered 2019,Orchestral Manoeuvres In The Dark,Souvenir,track,2019,269800,rock,62
Storm,Pugface,Storm,track,2019,61090,rock,38
Silencio,Celtas Cortos,"30 Aniversario (Sólo recuerdo lo bueno, de lo malo nada)",track,2019,226093,rock,44
Hell N Back,Bakar,Hell N Back,track,2019,213573,rock,72
20 de abril (feat. Fito y Fitipaldis & IZAL),Celtas Cortos,"30 Aniversario (Sólo recuerdo lo bueno, de lo malo nada)",track,2019,242951,rock,47
Chau,No Te Va Gustar,Otras Canciones,track,2019,319393,rock,68
Social Cues,Cage The Elephant,Social Cues,track,2019,219057,rock,69
I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,Hotel Diablo,track,2019,169397,rock,73
Imagination,Foster The People,Imagination,track,2019,256266,rock,71
World on Fire (feat. Slightly Stoopid),Stick Figure,World on Fire,track,2019,238810,rock,67
Kilby Girl,The Backseat Lovers,When We Were Friends,track,2019,282205,rock,77
Doom And Gloom,The Rolling Stones,Honk (Deluxe),track,2019,238546,rock,51
medicine,Bring Me The Horizon,amo,track,2019,227265,rock,59
striptease,carwash,striptease,track,2019,160659,rock,61
Cringe,Matt Maeson,Bank On The Funeral,track,2019,216213,rock,69
Fantasmas,Twin Tribes,Ceremony,track,2019,190525,rock,57
sugar honey ice & tea,Bring Me The Horizon,amo,track,2019,261560,rock,59
0% Angel,Mr.Kitty,Ephemeral,track,2019,234671,rock,58
The Runner,Foals,Everything Not Saved Will Be Lost Part II,track,2019,261936,rock,53
Sweet Victory,David Glen Eisley,Sweet Victory,track,2019,231042,rock,53
Descending,TOOL,Fear Inoculum,track,2019,817832,rock,58
Shine,Stick Figure,World on Fire,track,2019,269500,rock,63
Pool House,The Backseat Lovers,When We Were Friends,track,2019,269411,rock,70
"Viernes, 3AM - 2019 Remasterizado",Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario (Remasterizado 2019),track,2019,265312,rock,54
Ready To Let Go,Cage The Elephant,Social Cues,track,2019,187973,rock,61
Oh! Darling - 2019 Mix,The Beatles,Abbey Road (Super Deluxe Edition),track,2019,207146,rock,51
Constitución,Las eras,Austral,track,2019,220800,rock,57
Seeing It Through,WildHeart,Seeing It Through,track,2019,209000,rock,44
God's Gonna Cut You Down,Marilyn Manson,God's Gonna Cut You Down,track,2019,160538,rock,55
Raspberry Jam,Allah-Las,Raspberry Jam,track,2019,228306,rock,57
Can't Fight This Feeling,REO Speedwagon,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3",track,2019,292973,rock,52
Bad Woman Blues,Beth Hart,War In My Mind,track,2019,215911,rock,48
Soy,Cruzando El Charco,Lo Que Somos,track,2019,191530,rock,60
Broken Boy,Cage The Elephant,Social Cues,track,2019,163207,rock,61
Outside Of This Town,"Christone ""Kingfish"" Ingram",Kingfish,track,2019,248035,rock,50
Lonely,WildHeart,Lonely,track,2019,188445,rock,44
Save Me,Skillet,Victorious,track,2019,223240,rock,56
Harmony Hall,Vampire Weekend,Father of the Bride,track,2019,308733,rock,60
Animal,WildHeart,Animal,track,2019,197969,rock,45
The Bottom of It,Fruit Bats,Gold Past Life,track,2019,181400,rock,62
Die To Live,Volbeat,"Rewind, Replay, Rebound (Deluxe)",track,2019,182466,rock,54
Keeper,Reignwolf,Hear Me Out,track,2019,186992,rock,56
Forgotten Ghosts,Jadu Heart,Melt Away,track,2019,308000,rock,55
Dreamin (with blackbear),The Score,Pressure,track,2019,198640,rock,54
Tell Me Lies,The Black Keys,"""Let's Rock""",track,2019,219890,rock,53
TRIALS,STARSET,DIVISIONS,track,2019,258506,rock,59
Brand New Numb,Motionless In White,Disguise,track,2019,222461,rock,62
in the dark,Bring Me The Horizon,amo,track,2019,271186,rock,60
Honky Tonk Women,The Rolling Stones,Honky Tonk Women / You Can't Always Get What You Want,track,2019,182706,rock,58
Esos Ojos,No Te Va Gustar,Otras Canciones,track,2019,175731,rock,57
Hot Rod,Dayglow,Fuzzybrain,track,2019,204014,rock,66
MAYDAY (feat. Ryo from Crystal Lake),coldrain,THE SIDE EFFECTS,track,2019,227011,rock,58
Out For Blood,Sum 41,Order In Decline,track,2019,216571,rock,54
Do Your Worst,Rival Sons,Feral Roots,track,2019,210493,rock,54
Bailemos (feat. Isma Romero) - Acústico,Dani Fernández,Incendios y Cenizas,track,2019,218578,rock,29
Jungle,Somebody's Child,Jungle,track,2019,280613,rock,60
Dark Crow,MAN WITH A MISSION,Dark Crow,track,2019,278186,rock,55
De Vuelta de Ná,Sinkope,Adicción Limitada,track,2019,304896,rock,30
Copla el precipicio,Marea,El azogue,track,2019,289198,rock,31
Good Luck,Broken Bells,Good Luck,track,2019,206813,rock,58
I Just Wanna Shine,Fitz and The Tantrums,All the Feels,track,2019,207925,rock,63
Now That You're Gone,The Raconteurs,Help Us Stranger (With Track-by-Track Commentary),track,2019,240985,rock,52
Let Me Be Sad,I Prevail,TRAUMA,track,2019,214226,rock,61
I Really Wish I Hated You,blink-182,NINE,track,2019,191061,rock,55
La Grasa de las Capitales - 2019 Remasterizado,Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario (Remasterizado 2019),track,2019,268320,rock,49
Habit,Still Woozy,Habit,track,2019,153871,rock,61
Sober,Bad Wolves,N.A.T.I.O.N.,track,2019,195477,rock,59
Wasted Nights,ONE OK ROCK,Eye of the Storm,track,2019,224746,rock,56
wonderful life (feat. Dani Filth),Bring Me The Horizon,amo,track,2019,274403,rock,55
Don't Stop,The Rolling Stones,Honk (Deluxe),track,2019,239146,rock,46
Lo Nuestro Tiene Magia,Cruzando El Charco,Lo Que Somos,track,2019,193909,rock,57
When I'm Gone,Dirty Honey,Dirty Honey,track,2019,205090,rock,51
I See,Cam Cole,I See,track,2019,246499,rock,49
El Último Polvo,Caramelos De Cianuro,Acústico Retrovisor,track,2019,272480,rock,42
Star,Allah-Las,LAHS,track,2019,248344,rock,54
Victorious,Skillet,Victorious,track,2019,245715,rock,54
Here We Go,Norman,Here We Go,track,2019,143280,rock,49
Turning Away,Sum 41,Order In Decline,track,2019,230806,rock,47
Low Down Rolling Stone,Gary Clark Jr.,This Land,track,2019,258200,rock,51
Just Like a Movie,Wallows,Nothing Happens (5th Anniversary Edition),track,2019,247613,rock,59
Chances,Five For Fighting,Chilled Summer,track,2019,215200,rock,53
nihilist blues (feat. Grimes),Bring Me The Horizon,amo,track,2019,325501,rock,54
Motion,Boy Harsher,Country Girl Uncut,track,2019,239832,rock,54
Walk Like a Motherfucker,Ghost Funk Orchestra,A Song For Paul,track,2019,185160,rock,53
My Name Is..,Once Monsters,My Name Is..,track,2019,222710,rock,54
Fate,Boy Harsher,Careful,track,2019,257892,rock,52
Suit in the Back,Quaker City Night Hawks,QCNH,track,2019,173253,rock,50
Blood Sport,Sleep Token,Sundowning,track,2019,247200,rock,62
ECHO,STARSET,DIVISIONS,track,2019,216720,rock,57
Alligator,Of Monsters and Men,FEVER DREAM,track,2019,184026,rock,55
Black and Red,Reignwolf,Hear Me Out,track,2019,219522,rock,52
Culling Voices,TOOL,Fear Inoculum,track,2019,605369,rock,55
Love Too Much,Keane,Cause And Effect (Deluxe),track,2019,189186,rock,47
Did My Best,The Voidz,Did My Best,track,2019,296938,rock,54
original me (feat. dan reynolds of imagine dragons),YUNGBLUD,original me (feat. dan reynolds of imagine dragons),track,2019,205320,rock,53
Runaway Girl,Kakkmaddafakka,Diplomacy,track,2019,182761,rock,43
Darkside,blink-182,NINE,track,2019,180952,rock,55
Sing To Me,MISSIO,Sing To Me,track,2019,189920,rock,55
Leviathan,Volbeat,"Rewind, Replay, Rebound (Deluxe)",track,2019,275933,rock,54
Viva La Victoria,Eclipse,Paradigm,track,2019,191669,rock,53
Loner,YUNGBLUD,Loner,track,2019,215185,rock,54
mother tongue,Bring Me The Horizon,amo,track,2019,217424,rock,57
Hombre Con Alas,El Cuarteto De Nos,Jueves,track,2019,226080,rock,49
Come on In,Thorbjørn Risager & The Black Tornado,Come on In,track,2019,249750,rock,48
Low Blow,HONEYMOAN,Body,track,2019,237293,rock,57
Go,The Black Keys,"""Let's Rock""",track,2019,146596,rock,51
hope for the underrated youth,YUNGBLUD,the underrated youth,track,2019,240906,rock,54
Last Day Under The Sun,Volbeat,"Rewind, Replay, Rebound (Deluxe)",track,2019,287400,rock,55
heavy metal (feat. Rahzel),Bring Me The Horizon,amo,track,2019,240586,rock,56
The House of the Rising Sun,The Animals,The House of the Rising Sun: Best of The Animals,track,2019,269906,rock,59
British Bombs,Declan McKenna,British Bombs,track,2019,297714,rock,54
