name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
Cristina,Sebastian Yatra,sebastian yatra,FANTASÍA,track,2019,201626,72,4
LA CANCIÓN,J Balvin,j balvin,OASIS,track,2019,242573,89,4
105 F Remix,KEVVO,kevvo,105 F Remix,track,2019,464200,68,4
Kemba Walker,Eladio Carrion,eladio carrion,Kemba Walker,track,2019,152960,66,4
La Playa,Myke Towers,myke towers,La Playa,track,2019,207731,67,4
Ganas Sobran,Bryant Myers,bryant myers,Cambio de Clima,track,2019,237920,64,4
Otro Trago - Remix,Sech,sech,Otro Trago (Remix),track,2019,287773,71,4
11 PM,Maluma,maluma,11:11,track,2019,175733,78,4
El Efecto - Remix,Rauw Alejandro,rauw alejandro,El Efecto (Remix),track,2019,289898,72,4
Tal Vez,Paulo Londra,paulo londra,Homerun,track,2019,263899,76,4
Si Se Da - Remix,Myke Towers,myke towers,Si Se da Remix,track,2019,332240,75,4
Pa Mí (Remix),Dalex,dalex,Climaxxx,track,2019,360960,74,4
A Mí,Rels B,rels b,A Mí,track,2019,209680,81,4
Verte Ir,DJ Luian,dj luian,Verte Ir,track,2019,267500,72,4
Adan y Eva,Paulo Londra,paulo londra,Homerun,track,2019,256971,76,4
Adicto (with Anuel AA & Ozuna),Tainy,tainy,Adicto (with Anuel AA & Ozuna),track,2019,270740,79,4
No Te Debí Besar,C. Tangana,c tangana,No Te Debí Besar,track,2019,182815,64,4
Tusa,KAROL G,karol g,Tusa,track,2019,200960,74,4
Mirándote,Rvfv,rvfv,Mirándote,track,2019,135914,76,4
Zorra,Bad Gyal,bad gyal,Zorra,track,2019,186120,58,4
UN PESO,J Balvin,j balvin,OASIS,track,2019,277106,80,4
No Me Conoce - Remix,JHAYCO,jhayco,Famouz,track,2019,309120,85,4
Mayores,Becky G,becky g,MALA SANTA,track,2019,203183,76,4
"Acapella (feat. Bryant Myers, El Alfa, Jon Z, Myke Towers & Almighty)",Bryant Myers,bryant myers,"Acapella (feat. Bryant Myers, El Alfa, Jon Z, Myke Towers & Almighty)",track,2019,306946,59,4
Inocente,Myke Towers,myke towers,Inocente,track,2019,201579,67,4
Callaita,Bad Bunny,bad bunny,Callaita,track,2019,250533,75,4
Swing,Danny Ocean,danny ocean,54+1,track,2019,155058,73,4
A Solas (Remix),Lunay,lunay,Épico,track,2019,273198,70,4
Prendio - Remix,Rvfv,rvfv,Prendio (Remix),track,2019,191184,60,4
Alocao (With Bad Gyal),Omar Montes,omar montes,Alocao (With Bad Gyal),track,2019,209320,60,4
Me Niego (feat. Ozuna & Wisin),Reik,reik,Ahora,track,2019,221653,76,4
"Yo x Ti, Tu x Mi",ROSALÍA,rosalia,"Yo x Ti, Tu x Mi",track,2019,201040,75,4
No Podemos - Remix,Ele A El Dominio,ele a el dominio,No Podemos (Remix),track,2019,240000,56,4
Indeciso,Reik,reik,Indeciso,track,2019,217253,70,4
Baila Baila Baila - Remix,Ozuna,ozuna,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",track,2019,235284,77,4
Soltera (Remix),Lunay,lunay,Épico,track,2019,266086,76,4
El Efecto,Rauw Alejandro,rauw alejandro,El Efecto,track,2019,217142,83,4
Una Lady Como Tú,Manuel Turizo,manuel turizo,ADN,track,2019,217032,75,4
Aventura,Lunay,lunay,Épico,track,2019,217129,67,4
Ella Te Las Va A Pegar (feat. Ele a el Dominio & Noriel),Jon Z,jon z,Voodoo,track,2019,217525,75,4
Cuaderno,Dalex,dalex,Climaxxx,track,2019,286506,72,4
Contando Lunares (feat. Cruz Cafuné),Don Patricio,don patricio,La Dura Vida del Joven Rapero,track,2019,219666,66,4
China,Anuel AA,anuel aa,China,track,2019,301714,74,4
Despacito,Luis Fonsi,luis fonsi,VIDA,track,2019,229360,82,4
QUE PRETENDES,J Balvin,j balvin,OASIS,track,2019,222346,82,4
Con Calma,Daddy Yankee,daddy yankee,Con Calma,track,2019,193226,80,4
Nena Maldición (feat. Lenny Tavárez),Paulo Londra,paulo londra,Homerun,track,2019,227518,77,4
Me Rehúso,Danny Ocean,danny ocean,54+1,track,2019,205714,83,4
Velitas,Darell,darell,Velitas,track,2019,225542,74,4
Loco,Beéle,beele,Loco,track,2019,204000,78,4
COMO UN BEBÉ,J Balvin,j balvin,OASIS,track,2019,218826,72,4
Inmortal,Aventura,aventura,Utopia,track,2019,256428,69,4
Hola Señorita,GIMS,gims,Ceinture noire (Transcendance),track,2019,218546,72,4
Si Me Gano Un Grammy,Jon Z,jon z,Si Me Gano Un Grammy,track,2019,146409,69,4
Delincuente,Farruko,farruko,Gangalee,track,2019,396120,64,4
Codeine Crazy - Spanish Remix,Ele A El Dominio,ele a el dominio,Codeine Crazy (Spanish Remix),track,2019,321904,65,4
Dream Girl - Remix,Ir Sais,ir sais,Dream Girl (Remix),track,2019,192452,71,4
Mírame a la Cara,Khaled,khaled,Mírame a la Cara,track,2019,185285,54,4
Fantasias,Rauw Alejandro,rauw alejandro,Fantasias,track,2019,199711,71,4
Cuerpo en Venta,Noriel,noriel,Cuerpo en Venta,track,2019,254413,63,4
Se iluminaba,Fred De Palma,fred de palma,Uebe,track,2019,174291,57,4
Hola - Remix,Dalex,dalex,Hola (Remix),track,2019,249520,70,4
Animal,Eladio Carrion,eladio carrion,Animal,track,2019,217736,65,4
Que Mas Pues - Remix,Sech,sech,Sueños,track,2019,305962,72,4
Goteo,Duki,duki,Goteo,track,2019,164457,65,4
Amigos Con Derechos,Reik,reik,Ahora,track,2019,227480,76,4
Traicionera,Myke Towers,myke towers,Traicionera,track,2019,170467,61,4
LowKey,Bryant Myers,bryant myers,LowKey,track,2019,193027,61,4
Khalifa,Alex Rose,alex rose,Khalifa,track,2019,256973,61,4
Recuerdos - Remix,Juhn,juhn,Recuerdos (Remix),track,2019,322626,62,4
Con Altura,ROSALÍA,rosalia,Con Altura,track,2019,161626,71,4
