name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
Breaking Me,Topic,topic,Breaking Me,track,2019,166793,73,1
Someone You Loved,Lewis Capaldi,lewis capaldi,Divinely Uninspired To A Hellish Extent,track,2019,182160,87,1
The Man,Taylor Swift,taylor swift,Lover,track,2019,190360,77,1
needy,Ariana Grande,ariana grande,"thank u, next",track,2019,171573,84,1
Higher Love,Kygo,kygo,Higher Love,track,2019,228267,73,1
Primaveras En El Pelo,El Arrebato,el arrebato,Abrazos,track,2019,223987,56,1
Heavenly,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,286773,82,1
Cristina,Sebastian Yatra,sebastian yatra,FANTASÍA,track,2019,201626,72,1
La Luna,Galvan Real,galvan real,La Luna,track,2019,250319,59,1
Before You Go,Lewis Capaldi,lewis capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),track,2019,215106,84,1
Esperándote,Manuel Turizo,manuel turizo,ADN,track,2019,202317,65,1
Peces de Ciudad (feat. Pablo López),Pablo Alborán,pablo alboran,Peces de Ciudad (feat. Pablo López),track,2019,390861,54,1
Touch,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,292853,80,1
Un Año,Sebastian Yatra,sebastian yatra,Un Año,track,2019,164440,64,1
Doin' Time,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,202192,78,1
Destino,Greeicy,greeicy,Baila,track,2019,180480,67,1
Golden,Harry Styles,harry styles,Fine Line,track,2019,208917,75,1
If the World Was Ending (feat. Julia Michaels),JP Saxe,jp saxe,If the World Was Ending (feat. Julia Michaels),track,2019,208687,74,1
Azahara,Galvan Real,galvan real,Azahara,track,2019,259984,55,1
Ok Love You Bye,Olivia Dean,olivia dean,Ok Love You Bye,track,2019,154386,84,1
A Mí Na Ma,El Arrebato,el arrebato,Abrazos,track,2019,222330,51,1
La Vida Bailando,Galvan Real,galvan real,La Vida Bailando,track,2019,229290,51,1
Tus Ojos y los Míos,Demarco Flamenco,demarco flamenco,Le sonrío al agua,track,2019,194583,48,1
Un Amor Tan Grande,El Arrebato,el arrebato,Abrazos,track,2019,213496,49,1
La Boca,Mau y Ricky,mau y ricky,Para Aventuras y Curiosidades,track,2019,206271,66,1
Pa Ti y Pa Mí Na Má,Demarco Flamenco,demarco flamenco,Le sonrío al agua,track,2019,181016,52,1
Hold Me While You Wait,Lewis Capaldi,lewis capaldi,Divinely Uninspired To A Hellish Extent,track,2019,205686,77,1
Tu Juego,Galvan Real,galvan real,Tu Juego,track,2019,313849,51,1
"thank u, next",Ariana Grande,ariana grande,"thank u, next",track,2019,207320,83,1
RITMO (Bad Boys For Life),Black Eyed Peas,black eyed peas,RITMO (Bad Boys For Life),track,2019,221714,69,1
Cicatrices (feat. Indara),Sergio Contreras,sergio contreras,Cicatrices (feat. Indara),track,2019,173868,47,1
A Dónde Vamos,Morat,morat,A Dónde Vamos,track,2019,203102,63,1
Si La Hubieras Visto,El Arrebato,el arrebato,Abrazos,track,2019,252258,50,1
Mi Persona Favorita,Alejandro Sanz,alejandro sanz,#ELDISCO,track,2019,239972,61,1
Miss Americana & The Heartbreak Prince,Taylor Swift,taylor swift,Lover,track,2019,234146,78,1
Tu Velero,Galvan Real,galvan real,Tu Velero,track,2019,281483,52,1
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,mark ronson,Late Night Feelings,track,2019,217099,74,1
bloodline,Ariana Grande,ariana grande,"thank u, next",track,2019,216893,84,1
Tutu,Camilo,camilo,Tutu,track,2019,178613,64,1
ilomilo,Billie Eilish,billie eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,156370,76,1
Culpables,Manuel Turizo,manuel turizo,ADN,track,2019,233929,70,1
"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""",Morat,morat,Mar De Colores (Versión Extendida),track,2019,179280,56,1
Amigos Con Derechos,Reik,reik,Ahora,track,2019,227480,76,1
El Danzar De Las Mariposas,El Barrio,el barrio,El Danzar De Las Mariposas,track,2019,256690,56,1
Don't Start Now,Dua Lipa,dua lipa,Don't Start Now,track,2019,183290,74,1
All Around The World (La La La),R3HAB,r3hab,All Around The World (La La La),track,2019,147840,71,1
Kill This Love,BLACKPINK,blackpink,KILL THIS LOVE,track,2019,191050,76,1
Adore You,Harry Styles,harry styles,Fine Line,track,2019,207139,84,1
Cry,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,256799,88,1
ghostin,Ariana Grande,ariana grande,"thank u, next",track,2019,271466,71,1
Mikrokosmos,BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,224225,72,1
Afterglow,Taylor Swift,taylor swift,Lover,track,2019,223293,73,1
wish you were gay,Billie Eilish,billie eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,221543,75,1
Why Why Why Why Why,SAULT,sault,5,track,2019,238679,71,1
How to disappear,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,228071,74,1
Reason To Stay,Olivia Dean,olivia dean,Ok Love You Bye,track,2019,198813,77,1
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,taylor swift,Lover,track,2019,193000,73,1
Falling Like The Stars,James Arthur,james arthur,YOU,track,2019,212147,73,1
Detente,Mike Bahía,mike bahia,Navegando,track,2019,181845,66,1
Para Volver a Volver,Siempre Asi,siempre asi,Esencial Siempre Así,track,2019,123280,44,1
The Seed,AURORA,aurora,A Different Kind Of Human – Step 2,track,2019,266969,69,1
FANCY,TWICE,twice,FANCY YOU,track,2019,213880,75,1
Mejores Amigos,Yera,yera,Mejores Amigos,track,2019,205369,63,1
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,ed sheeran,No.6 Collaborations Project,track,2019,204466,74,1
Happiness is a butterfly,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,272485,74,1
Alaska,Maggie Rogers,maggie rogers,Heard It In A Past Life,track,2019,188000,72,1
Tek It,Cafuné,cafune,Tek It (I Watch the Moon),track,2019,191823,72,1
Amor Tumbado,Natanael Cano,natanael cano,Mi Nuevo Yo,track,2019,221553,77,1
Romeo y Julieta,Pedro el Flamenkito,pedro el flamenkito,Romeo y Julieta,track,2019,283880,43,1
Déjate Querer,Lalo Ebratt,lalo ebratt,Déjate Querer,track,2019,202823,56,1
boyfriend (with Social House),Ariana Grande,ariana grande,boyfriend,track,2019,186106,81,1
Si Te Vas,Javi Medina,javi medina,Si Te Vas,track,2019,182400,44,1
Don't Let Me Go,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,262560,74,1
Mi gente (con El Arrebato),Camela,camela,Rebobinando (25 Años),track,2019,222120,43,1
Que Salga el Sol,Javi Medina,javi medina,Solo,track,2019,221320,45,1
Pal Carajo,Pyllo Cortes,pyllo cortes,Pal Carajo,track,2019,192299,45,1
El Barrio de la Alegría,Barroso,barroso,El Barrio de la Alegría,track,2019,189589,44,1
Esta Noche,Mike Bahía,mike bahia,Navegando,track,2019,168520,64,1
You Need To Calm Down,Taylor Swift,taylor swift,Lover,track,2019,171360,76,1
Only Human,Jonas Brothers,jonas brothers,Happiness Begins,track,2019,183000,73,1
Rayando el Sol (feat. Pablo Alborán),Maná,mana,Rayando el Sol (feat. Pablo Alborán),track,2019,258937,61,1
6 de septiembre (feat. Andrés Suárez),Dani Fernández,dani fernandez,Incendios,track,2019,237794,44,1
Bonita,Juanes,juanes,Más Futuro Que Pasado,track,2019,147786,59,1
Coyotes - Versión en Acústico El Embarcadero,Travis Birds,travis birds,Coyotes (Versión en Acústico El Embarcadero),track,2019,230136,45,1
Presiento,Morat,morat,Presiento,track,2019,174379,52,1
Falling In Love,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,245840,74,1
Don't Call Me Up,Mabel,mabel,Ivy To Roses (Mixtape),track,2019,178480,72,1
Aquí Me Tienes,El Arrebato,el arrebato,Abrazos,track,2019,199422,47,1
Dancing With A Stranger (with Normani),Sam Smith,sam smith,Dancing With A Stranger (with Normani),track,2019,171029,76,1
Naked,James Arthur,james arthur,YOU,track,2019,233490,72,1
Aleluya,Reik,reik,Ahora,track,2019,158480,62,1
"break up with your girlfriend, i'm bored",Ariana Grande,ariana grande,"thank u, next",track,2019,190440,76,1
Tabú,Pablo Alborán,pablo alboran,Tabú,track,2019,179774,54,1
Lo siento (feat. Sofía Reyes),Beret,beret,Prisma,track,2019,232655,60,1
Dónde Están Corazón,Enrique Iglesias,enrique iglesias,Greatest Hits,track,2019,259613,68,1
Boy With Luv (feat. Halsey),BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,229773,78,1
California,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,305899,67,1
Slide Away,Miley Cyrus,miley cyrus,SHE IS COMING,track,2019,233654,65,1
Harleys In Hawaii,Katy Perry,katy perry,Harleys In Hawaii,track,2019,185815,75,1
I Feel Love,Sam Smith,sam smith,I Feel Love,track,2019,254453,66,1
Almost (Sweet Music),Hozier,hozier,"Wasteland, Baby!",track,2019,217480,69,1
Lights Up,Harry Styles,harry styles,Fine Line,track,2019,172215,70,1
Bola Rebola,Tropkillaz,tropkillaz,Bola Rebola,track,2019,193440,64,1
How Do You Sleep?,Sam Smith,sam smith,How Do You Sleep?,track,2019,202204,67,1
インフェルノ,Mrs. GREEN APPLE,mrs green apple,インフェルノ,track,2019,212546,69,1
in my head,Ariana Grande,ariana grande,"thank u, next",track,2019,222946,70,1
Juliet,Cavetown,cavetown,Animal Kingdom,track,2019,278991,72,1
Feel Special,TWICE,twice,Feel Special,track,2019,206866,73,1
xanny,Billie Eilish,billie eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",track,2019,243725,71,1
Love song,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,229325,67,1
I Think He Knows,Taylor Swift,taylor swift,Lover,track,2019,173386,69,1
All Of The Girls You Loved Before,Taylor Swift,taylor swift,All Of The Girls You Loved Before,track,2019,221407,71,1
Kingston,Faye Webster,faye webster,Atlanta Millionaires Club,track,2019,202653,79,1
Kiss It Off Me,Cigarettes After Sex,cigarettes after sex,Cry,track,2019,269933,70,1
imagine,Ariana Grande,ariana grande,"thank u, next",track,2019,212266,70,1
¿Qué Ha Pasao'?,Abraham Mateo,abraham mateo,¿Qué Ha Pasao'?,track,2019,198053,55,1
Password Change,Olivia Dean,olivia dean,Password Change,track,2019,206000,69,1
The Lady in Red,The Cooltrane Quartet,the cooltrane quartet,The Lady in Red,track,2019,227013,54,1
London Boy,Taylor Swift,taylor swift,Lover,track,2019,190240,72,1
Hey Brother,Bossa Nova Covers,bossa nova covers,Bossa Nova Covers,track,2019,221226,55,1
Más Fuerte,Greeicy,greeicy,Baila,track,2019,184760,63,1
I Forgot That You Existed,Taylor Swift,taylor swift,Lover,track,2019,170640,72,1
Don't Know What To Do,BLACKPINK,blackpink,KILL THIS LOVE,track,2019,201081,66,1
HOME,BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,234177,71,1
Cryin',Sarah Menescal,sarah menescal,My World,track,2019,199046,54,1
Never Really Over,Katy Perry,katy perry,Never Really Over,track,2019,223523,65,1
Someone You Loved - Future Humans Remix,Lewis Capaldi,lewis capaldi,Someone You Loved (Future Humans Remix),track,2019,189052,61,1
MIROH,Stray Kids,stray kids,Clé 1 : MIROH,track,2019,207617,66,1
bad idea,Ariana Grande,ariana grande,"thank u, next",track,2019,267106,68,1
Satisfaction,Bossa Nova Covers,bossa nova covers,Bossa Nova Covers,track,2019,223960,55,1
Turn Me On (feat. Vula),Riton,riton,Turn Me On (feat. Vula),track,2019,208473,67,1
Minifalda,Greeicy,greeicy,Minifalda,track,2019,178946,58,1
"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Sia,sia,"LABRINTH, SIA & DIPLO PRESENT... LSD",track,2019,187026,69,1
Ay Corazón,Cali Y El Dandee,cali y el dandee,Ay Corazón,track,2019,190287,55,1
So Caught Up,The Teskey Brothers,the teskey brothers,Run Home Slow,track,2019,228553,62,1
Death By A Thousand Cuts,Taylor Swift,taylor swift,Lover,track,2019,198533,71,1
Time,Angelo De Augustine,angelo de augustine,Tomb,track,2019,236819,57,1
Enamórate De Alguien Más,Morat,morat,Enamórate De Alguien Más,track,2019,229107,58,1
I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,mgk,Hotel Diablo,track,2019,169397,73,1
bad idea!,girl in red,girl in red,bad idea!,track,2019,219638,73,1
Mariners Apartment Complex,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,247150,69,1
Serenata,Mike Bahía,mike bahia,Navegando,track,2019,206967,64,1
Apple Cider,beabadoobee,beabadoobee,Loveworm,track,2019,178918,77,1
Joro,Wizkid,wizkid,Joro,track,2019,262736,67,1
Intro : Persona,BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,171023,63,1
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,324498,64,1
Soy El Diablo - Remix,Natanael Cano,natanael cano,Soy El Diablo (Remix),track,2019,193621,65,1
BOOM,X Ambassadors,x ambassadors,ORION,track,2019,164586,59,1
Boys Will Be Bugs,Cavetown,cavetown,Animal Kingdom,track,2019,329049,68,1
Make It Right,BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,226321,67,1
Ritual,Tiësto,tiesto,Ritual,track,2019,198995,60,1
HIP,MAMAMOO,mamamoo,reality in BLACK,track,2019,195306,65,1
NASA,Ariana Grande,ariana grande,"thank u, next",track,2019,182000,66,1
Andromeda,Weyes Blood,weyes blood,Titanic Rising,track,2019,280186,67,1
The greatest,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,300360,65,1
Chicken Noodle Soup (feat. Becky G),j-hope,j hope,Chicken Noodle Soup (feat. Becky G),track,2019,235497,65,1
Me Gusta Mi Vida,Joan Y Su Elite,joan y su elite,Me Gusta Mi Vida,track,2019,227726,68,1
Body On My,Loud Luxury,loud luxury,Body On My,track,2019,192506,61,1
fake smile,Ariana Grande,ariana grande,"thank u, next",track,2019,208880,65,1
Losing My Way,FKJ,fkj,Losing My Way,track,2019,259200,61,1
Just to Be in Love,Alex Rasov,alex rasov,Just to Be in Love,track,2019,264333,54,1
Venice Bitch,Lana Del Rey,lana del rey,Norman Fucking Rockwell!,track,2019,577199,66,1
Dionysus,BTS,bts,MAP OF THE SOUL : PERSONA,track,2019,249215,66,1
July (feat. Leon Bridges),Noah Cyrus,noah cyrus,July (feat. Leon Bridges),track,2019,152280,68,1
Un Millón Como Tú,Lasso,lasso,Un Millón Como Tú,track,2019,275026,62,1
Good as Hell,Lizzo,lizzo,Cuz I Love You (Super Deluxe),track,2019,159735,68,1
This City,Sam Fischer,sam fischer,This City,track,2019,194853,67,1
Idol,Mind Enterprises,mind enterprises,Panorama EP,track,2019,255584,57,1
"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,dua lipa,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",track,2019,182074,59,1
La Cintura (feat. Flo Rida & Tini) - Remix,Alvaro Soler,alvaro soler,Mar De Colores (Versión Extendida),track,2019,178266,55,1
Psycho,Red Velvet,red velvet,‘The ReVe Festival’ Finale,track,2019,210560,71,1
Reminiscing,Michelle Simonal,michelle simonal,International Inspirations,track,2019,198250,50,1
More Than I Can Bear,Luca Giacco,luca giacco,Café del Este - Lounge & Chill Sessions,track,2019,237750,49,1
夜に駆ける,YOASOBI,yoasobi,夜に駆ける,track,2019,261013,70,1
White Trainers - Demo,Olivia Dean,olivia dean,Ok Love You Bye,track,2019,162493,66,1
Piano Joint (This Kind Of Love),Michael Kiwanuka,michael kiwanuka,KIWANUKA,track,2019,231586,57,1
El Drip,Natanael Cano,natanael cano,Corridos Tumbados,track,2019,142910,69,1
Back Down South - Bossa Nova Mix,Stereo Dub,stereo dub,Back Down South (Bossa Nova Mix),track,2019,164889,50,1
Light On,Maggie Rogers,maggie rogers,Heard It In A Past Life,track,2019,233880,71,1
Masterpiece,SAULT,sault,5,track,2019,344680,64,1
Somewhere in the Hills,Bossa Nova Covers,bossa nova covers,Bossa Nova Covers,track,2019,191333,52,1
Remember When,Wallows,wallows,Nothing Happens,track,2019,155146,70,1
La Plata,Juanes,juanes,Más Futuro Que Pasado,track,2019,195280,51,1
I Shot the Sheriff,Bossa Nova Covers,bossa nova covers,Bossa Nova Covers,track,2019,223960,52,1
Rescue Me,OneRepublic,onerepublic,Rescue Me,track,2019,158899,64,1
Quédate,Kany García,kany garcia,Contra el Viento,track,2019,199814,57,1
Nada Ha Cambiado,Manuel Turizo,manuel turizo,ADN,track,2019,228837,52,1
In Fact (feat. Gabzy),melvitto,melvitto,THENIGHTISYOUNG.,track,2019,225179,67,1
The Happy Man,Michelle Simonal,michelle simonal,International Inspirations,track,2019,269000,51,1
All Day And Night,Jax Jones,jax jones,Snacks,track,2019,169466,64,1
Lush Life,Bossa Nova Covers,bossa nova covers,Bossa Nova Covers,track,2019,205746,53,1
Juice,Lizzo,lizzo,Cuz I Love You,track,2019,195144,67,1
Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,jax jones,Snacks,track,2019,165906,59,1
Life Goes On,BTS,bts,BE,track,2020,207481,84,1
God’s Menu,Stray Kids,stray kids,GO LIVE,track,2020,167922,77,1
If You Love Her,Forest Blakk,forest blakk,If You Love Her,track,2020,217351,78,1
Te Esperé,Jesse & Joy,jesse joy,Aire (Versión Día),track,2020,216000,74,1
Un Beso en Madrid,TINI,tini,TINI TINI TINI,track,2020,144351,62,1
CORAZÓN SIN VIDA,Aitana,aitana,11 RAZONES,track,2020,181200,62,1
Still With You,Jung Kook,jung kook,Still With You,track,2020,239905,81,1
positions,Ariana Grande,ariana grande,Positions,track,2020,172324,80,1
Physical,Dua Lipa,dua lipa,Future Nostalgia,track,2020,193829,77,1
Blinding Lights (with ROSALÍA) - Remix,The Weeknd,the weeknd,Blinding Lights (Remix),track,2020,216123,60,1
Break My Heart,Dua Lipa,dua lipa,Future Nostalgia,track,2020,221820,79,1
Deseo - Remix,Maka,maka,Bendiciones,track,2020,227926,53,1
Favorito,Camilo,camilo,Por Primera Vez,track,2020,209765,71,1
El Mismo Aire - con Pablo Alborán,Camilo,camilo,El Mismo Aire (con Pablo Alborán),track,2020,188213,75,1
Entre Tú Y Yo,El Duende Callejero,el duende callejero,Nuestra Manera De Hablar,track,2020,220386,49,1
Dynamite,BTS,bts,BE,track,2020,199053,81,1
Nuestra Historia,Kike & Manu,kike manu,Nuestra Historia,track,2020,169943,46,1
Novia Moderna,Lin Cortés,lin cortes,Gitanerías,track,2020,231682,48,1
El Pacto,Galvan Real,galvan real,El Pacto,track,2020,214792,47,1
A Partir De Hoy,David Bisbal,david bisbal,En Tus Planes,track,2020,196802,68,1
Ojalá Supiera,Canelita,canelita,Ojalá Supiera,track,2020,230204,47,1
