name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
Never There,Sum 41,sum 41,Order In Decline,track,2019,260093,54,2
Stand Out Fit In,ONE OK ROCK,one ok rock,Eye of the Storm,track,2019,214573,62,2
This Life,Vampire Weekend,vampire weekend,Father of the Bride,track,2019,268600,59,2
Seventeen,Sharon Van Etten,sharon van etten,Remind Me Tomorrow,track,2019,265920,61,2
MANTRA,Bring Me The Horizon,bring me the horizon,amo,track,2019,233128,62,2
It's Alright,The Mystery Lights,the mystery lights,Too Much Tension!,track,2019,170546,58,2
Kiss The Go-Goat,Ghost,ghost,Seven Inches of Satanic Panic,track,2019,195693,62,2
Mario Neta,El Cuarteto De Nos,el cuarteto de nos,Jueves,track,2019,234786,54,2
Hurricane,I Prevail,i prevail,TRAUMA,track,2019,223173,68,2
Drugs,Falling In Reverse,falling in reverse,Drugs,track,2019,231920,61,2
Legendary,Skillet,skillet,Victorious,track,2019,244538,63,2
Cold as Ice,Foreigner,foreigner,"Stranger Things: Soundtrack from the Netflix Original Series, Season 3",track,2019,199480,54,2
Invincible,TOOL,tool,Fear Inoculum,track,2019,764456,62,2
A Las Nueve,No Te Va Gustar,no te va gustar,Otras Canciones,track,2019,202063,63,2
Patience,Tame Impala,tame impala,Patience,track,2019,292267,65,2
Killing Me Slowly,Bad Wolves,bad wolves,N.A.T.I.O.N.,track,2019,237065,66,2
Scrawny,Wallows,wallows,Nothing Happens,track,2019,166520,66,2
BOOM,X Ambassadors,x ambassadors,ORION,track,2019,164586,59,2
Mama,Cam Cole,cam cole,I See,track,2019,147026,61,2
Finish Line,Skillet,skillet,Victorious,track,2019,206060,64,2
Personal Lies,Djo,djo,Twenty Twenty,track,2019,299546,64,2
Princesa,Los Rodriguez,los rodriguez,Princesa,track,2019,270568,39,2
Sleeptalk,Dayseeker,dayseeker,Sleeptalk (Deluxe),track,2019,223026,69,2
Maple Syrup,The Backseat Lovers,the backseat lovers,When We Were Friends,track,2019,243529,71,2
New Age Blues,Cam Cole,cam cole,I See,track,2019,257351,58,2
Un hierro sin domar,Marea,marea,El azogue,track,2019,232222,33,2
Shine A Little Light,The Black Keys,the black keys,"""Let's Rock""",track,2019,196776,59,2
Hoy - Remezclado y Remasterizado 2019,Los De Marras,los de marras,Surrealismo (Remezclado y Remasterizado 2019),track,2019,202303,33,2
Remember When,Wallows,wallows,Nothing Happens,track,2019,155146,70,2
Popular Monster,Falling In Reverse,falling in reverse,Popular Monster,track,2019,220537,69,2
Guerra Fría,Valira,valira,Ecos de Aventura,track,2019,276093,35,2
Niamh,Celtian,celtian,En Tierra de Hadas,track,2019,226385,42,2
Runnin' Down A Dream,Tom Petty,tom petty,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,track,2019,261812,69,2
Disco,Surf Curse,surf curse,Disco,track,2019,152760,79,2
