artist_name_raw,artist_name_norm,listeners,playcount,id_genre
ATEEZ,ateez,768643,201140830,1
Aurora,aurora,1755377,85932243,1
Abraham Mateo,abraham mateo,162950,2581795,1
Adele,adele,5509829,311239170,1
Ado,ado,646802,71606131,1
Agust D,agust d,808417,527341303,1
Aimer,aimer,462885,23858579,1
Aitana,aitana,225475,13481806,1
Alan Gomez,alan gomez,88510,1467760,1
Alejandro Sanz,alejandro sanz,671211,14460688,1
Alesso,alesso,1402436,22810924,1
Alex Rasov,alex rasov,4044,32672,1
Alok,alok,1203734,24490667,1
Alvaro Soler,alvaro soler,364744,6188394,1
Amazonics,amazonics,86409,569968,1
Ana Mena,ana mena,122590,4025299,1
Anakelly,anakelly,80956,418499,1
Andrés Cepeda,andrés cepeda,95520,2488868,1
Angelo De Augustine,angelo de augustine,291294,3584881,1
Anitta,anitta,1162984,147846779,1
Antonio José,antonio josé,41767,525211,1
Antoñito Molina,antoñito molina,6182,72341,1
Arca,arca,774475,69615743,1
Ariana Grande,ariana grande,4340503,1049297130,1
Ashe,ashe,1142059,25003626,1
Ava Max,ava max,1530198,64698157,1
Ayra Starr,ayra starr,330388,6468243,1
Baby Monster,baby monster,37524,217611,1
BLACKPINK,blackpink,1904610,298081805,1
BTS,bts,2264023,2719588783,1
Banda Do Sul,banda do sul,35025,216267,1
BARROSO,barroso,1507,7081,1
Beach Bunny,beach bunny,1495116,42303340,1
Benson Boone,benson boone,1420934,42827378,1
beret,beret,107050,2708142,1
Bershy,bershy,80414,1316385,1
Besmaya,besmaya,25197,349692,1
Beyoncé,beyoncé,6263849,675208309,1
Billie Eilish,billie eilish,4088398,795989353,1
Bizarrap,bizarrap,891606,44195027,1
Björk,björk,3378063,250105623,1
Black Eyed Peas,black eyed peas,5584149,146246213,1
Borja Rubio,borja rubio,4546,25315,1
BossArt Ensemble,bossart ensemble,10922,58423,1
Bossa Bros,bossa bros,17398,162662,1
Bossa Nova Covers,bossa nova covers,35435,597859,1
Bruno Mars,bruno mars,5047829,273251274,1
Cafuné,cafuné,1410734,31150908,1
Cali & El Dandee,cali & el dandee,21053,188069,1
Calle 24,calle 24,182602,5221417,1
Calvin Harris,calvin harris,4867018,198745954,1
Camela,camela,58035,676443,1
Camila Cabello,camila cabello,2320287,124637500,1
Camilo,camilo,357204,7167316,1
Canelita,canelita,21369,238809,1
Carlos Rivera,carlos rivera,139815,1906780,1
Carlos Vives,carlos vives,617881,8187916,1
Catching Flies,catching flies,336880,4121601,1
Cavetown,cavetown,1576169,83251285,1
Chappell Roan,chappell roan,2446096,311883570,1
Charli xcx,charli xcx,3633592,669552976,1
Chris Norman,chris norman,259721,1815398,1
Cigarettes After Sex,cigarettes after sex,2768246,291211238,1
Clairo,clairo,2817606,328474026,1
Clean Bandit,clean bandit,2443599,48587088,1
Coldplay,coldplay,8939954,764657507,1
Conan Gray,conan gray,2339392,236152236,1
Connor Kauffman,connor kauffman,147228,3128942,1
Dani Fernández,dani fernández,31910,868116,1
Danny Ocean,danny ocean,506051,12392205,1
David Bisbal,david bisbal,357847,5226035,1
David Guetta,david guetta,5092401,181623960,1
Daviles de Novelda,daviles de novelda,22347,215233,1
Demarco Flamenco,demarco flamenco,20693,151794,1
