track_id,name_track,name_artist,name_album,release_date,type,year,duration_ms,genre,popularity,explicit,artist_id
6j1716jNj5Ed7Hhvi6QTgr,Carta a mi País,Habacuc Threeseven,Carta a mi País,2019-12-10,track,2019,273230,reggaeton,0,False,3AvlIS4ixL8UvML1DT3AIs
6wn2wMlzGVGnE9al6FlnTL,Vuelve,Dreko El Prodigio,Vuelve,2019-11-30,track,2019,212393,reggaeton,0,False,3hi7DFskKbkSY2dYkzpvHF
2bSol2wmtS4iwrcTgGbGVQ,FreeStyle 2015,Chriss Romel,FreeStyle 2015,2020-10-02,track,2020,210863,reggaeton,0,False,0NTbnIoTbuIUZuI295yYYq
0ZQyyQA9DcV6N7OxaLaW5y,Go De Maquis,Falo,Apparition,2020-07-04,track,2020,191503,reggaeton,0,True,5QfKUbR3EOkfzKoDNBV3xJ
6HU0pc1V55QiLulv2VCla3,Twerk,Falo,Apparition,2020-07-04,track,2020,193750,reggaeton,0,True,5QfKUbR3EOkfzKoDNBV3xJ
7JAjXk8aGGuRwPkT3admQh,Zaloum Freestyle 2,Falo,Zaloum freestyle 2,2021-06-28,track,2021,136333,reggaeton,0,False,5QfKUbR3EOkfzKoDNBV3xJ
1MCn2EomngKicM5ksh3Os2,Again,BeatBoy,"The House Scene: London, Vol. 3 (A DJ House Selection)",2021-08-06,track,2021,200168,reggaeton,0,False,5UBcT8h31eT62kHEsNaW3X
7jdnnh3G0HTw681GXEUX8p,De Laatste Nacht,Tempo,Vlaamse Troeven volume 385,2022-12-08,track,2022,215933,reggaeton,0,False,76whng5pl9msPkkjFUtWYn
1ucHVyFkl5BOpUHRqYLbWI,Mega,Nahliel,Mega,2022-09-16,track,2022,213749,reggaeton,0,False,0QHpKs7EJceiA5bzJdMwQs
75uOM0x6aIJ9fzS9NviDo4,Mug (Mamense un Gu3vo) - Disco Remix,Jonathan Moly,Mug (Mamense un Gu3vo) [Remixes],2022-01-27,track,2022,249523,reggaeton,0,False,0fAxJ75WJT3STJb3xWtpbc
320dgOyATfQjWbuRCTWGxI,La Pena Capital,Casero,"Épico, Vol. 2",2023-04-07,track,2023,240000,reggaeton,0,False,75d6ppDvJLft3SJhBCTDKq
2SstTkpxaT4J91CUGoCxqn,Toksé,Falo,Bras de fer,2023-02-18,track,2023,191354,reggaeton,0,True,5QfKUbR3EOkfzKoDNBV3xJ
0XCqUeobq7jCwnw9bROiqR,Widbo,Falo,Bras de fer,2023-02-18,track,2023,184813,reggaeton,0,True,5QfKUbR3EOkfzKoDNBV3xJ
5IY19IECzc1daG3fsNQCND,Bèba,Falo,Bras de fer,2023-02-18,track,2023,203890,reggaeton,0,True,5QfKUbR3EOkfzKoDNBV3xJ
